차시,문제,정답,해설
8차시,PRD 문서 없이도 프로그램을 개발할 수 있다.,O,PRD 문서는 도움이 되지만 필수는 아닙니다. 작은 프로젝트는 문서 없이도 개발할 수 있습니다. 하지만 큰 프로젝트는 문서가 있으면 좋습니다.
9차시,APScheduler는 한 번에 하나의 작업만 실행할 수 있다.,X,APScheduler는 여러 작업을 동시에 실행할 수 있습니다. 예를 들어 가격 조회와 알림 전송을 동시에 할 수 있습니다.
9차시,스케줄러는 특정 시간에 자동으로 작업을 실행하게 해주는 도구이다.,O,스케줄러는 매일 오전 9시에 거래를 시작하거나, 5분마다 가격을 확인하는 것처럼 특정 시간에 자동으로 작업을 실행하게 해줍니다.
10차시,텔레그램 봇은 python-telegram-bot 라이브러리를 사용하여 구현할 수 있다.,O,python-telegram-bot은 텔레그램 봇을 만드는 데 사용하는 Python 도구입니다. 이 도구를 사용하면 봇을 쉽게 만들 수 있습니다.
10차시,텔레그램 봇은 텔레그램에서 자동으로 메시지를 보내거나 명령어를 처리할 수 있다.,O,텔레그램 봇은 사람이 직접 메시지를 보내지 않아도 자동으로 메시지를 보내거나, 사용자가 보낸 명령어를 처리할 수 있는 프로그램입니다.
11차시,자동매매 시스템에서 API 인증 오류는 네트워크 문제보다 더 자주 발생한다.,X,실제로는 인터넷 연결이 끊기거나 느려지는 네트워크 문제가 더 자주 발생합니다. API 인증 오류는 상대적으로 적게 발생합니다.
11차시,자동매매 시스템에서 오류가 발생하면 자동으로 재시도하는 기능이 필요하다.,O,네트워크가 잠깐 끊기거나 API 서버가 일시적으로 문제가 생길 수 있으므로, 오류가 발생하면 자동으로 다시 시도하는 기능이 중요합니다.
12차시,pandas와 numpy는 거래 데이터를 분석할 수 없고 오직 텍스트 파일만 처리할 수 있다.,X,pandas와 numpy는 데이터를 분석하는 가장 중요한 도구입니다. 거래 데이터, CSV 파일, 데이터베이스 등 다양한 데이터를 처리할 수 있습니다.
12차시,데이터 분석을 통해 거래 전략의 성과를 평가할 수 있다.,O,데이터 분석을 통해 내가 사용한 전략이 얼마나 수익을 냈는지, 승률은 얼마인지, 리스크는 어느 정도인지 평가할 수 있습니다.
13차시,전략 최적화는 한 번만 수행하면 영구적으로 최적의 결과를 보장한다.,X,시장은 계속 변하기 때문에 전략 최적화도 주기적으로 다시 해야 합니다. 한 번만 하면 영원히 최고라는 보장은 없습니다.
13차시,전략 최적화는 파라미터 값을 조정하여 더 나은 결과를 찾는 과정이다.,O,전략 최적화는 K값이나 이동평균 기간 같은 파라미터를 여러 값으로 시도해보고 가장 좋은 결과를 내는 값을 찾는 과정입니다.
14차시,초보 투자자도 모든 자금을 한 번에 투자하는 것이 가장 수익률이 높다.,X,모든 돈을 한 번에 투자하는 것은 매우 위험합니다. 여러 코인에 나누어 투자하거나 조금씩 투자하는 것이 안전합니다.
14차시,초보 투자자는 리스크를 최소화하는 보수적인 전략을 사용하는 것이 좋다.,O,초보 투자자는 큰 손실을 피하기 위해 리스크를 최소화하는 보수적인 전략을 사용하는 것이 안전합니다. 경험이 쌓이면 더 공격적인 전략을 시도할 수 있습니다.
15차시,클라우드 플랫폼을 사용하면 24시간 안정적으로 자동매매 시스템을 운영할 수 있다.,O,클라우드 플랫폼은 인터넷에 있는 컴퓨터를 빌려 쓰는 것입니다. 24시간 켜져 있고, 자동으로 백업도 해주어서 자동매매에 적합합니다.
15차시,로컬 컴퓨터에서도 자동매매 시스템을 24시간 운영할 수 있다.,O,내 컴퓨터를 24시간 켜두면 자동매매 시스템을 운영할 수 있습니다. 다만 전기 요금이 들고, 컴퓨터가 꺼지면 작동하지 않습니다.
16차시,MCP는 자동매매 시스템 개발에 필수적인 도구이다.,X,MCP는 AI 도구를 연결하는 방법이지만, 자동매매 시스템을 만드는 데 꼭 필요한 것은 아닙니다. 선택적으로 사용할 수 있는 도구입니다.
16차시,MCP는 AI 도구들을 연결해서 함께 사용할 수 있게 해주는 프로토콜이다.,O,MCP는 여러 AI 도구들을 하나로 연결해서 사용할 수 있게 해주는 방법입니다. 예를 들어 브라우저 제어와 문서 관리를 함께 사용할 수 있습니다.
17차시,포트폴리오 전략은 여러 코인에 분산 투자하여 리스크를 줄이는 방법이다.,O,포트폴리오 전략은 여러 코인에 돈을 나누어 투자하는 방법입니다. 한 코인이 떨어져도 다른 코인이 올라가면 손실을 줄일 수 있습니다.
17차시,한 코인에만 투자하는 것보다 여러 코인에 분산 투자하는 것이 안전하다.,O,한 코인에만 투자하면 그 코인이 떨어질 때 큰 손실을 볼 수 있습니다. 여러 코인에 나누어 투자하면 한 코인이 떨어져도 다른 코인으로 손실을 보완할 수 있습니다.
18차시,여러 거래소에서 동시에 거래하면 아비트라지 기회를 통해 수익을 극대화할 수 있다.,O,아비트라지는 같은 코인을 다른 거래소에서 가격 차이를 이용해 사고 파는 방법입니다. 여러 거래소를 사용하면 이런 기회를 찾을 수 있습니다.
18차시,여러 거래소를 사용하면 한 거래소에 문제가 생겨도 다른 거래소를 사용할 수 있다.,O,한 거래소만 사용하면 그 거래소에 문제가 생겼을 때 거래를 할 수 없습니다. 여러 거래소를 사용하면 한 곳에 문제가 생겨도 다른 곳을 사용할 수 있어 안전합니다.

