차시;문항유형;문항번호;문제;보기1;보기2;보기3;보기4;정답;해설
6차시;선다형;14;업비트 API의 Rate Limit을 초과하면 발생하는 HTTP 에러 코드는?;400;401;404;429;4;업비트 API는 초당 10회 요청 제한이 있으며, 이를 초과하면 429 에러가 발생합니다.
7차시;선다형;15;백테스트 시스템의 핵심 구성 요소 4가지는?;데이터 로딩, 전략 실행, 성과 분석, 결과 시각화;데이터 로딩, 전략 실행, 실시간 거래, 결과 시각화;데이터 저장, 전략 실행, 성과 분석, 결과 시각화;데이터 로딩, 전략 실행, 성과 분석, 실시간 모니터링;1;백테스트 시스템은 데이터 로딩, 전략 실행, 성과 분석, 결과 시각화의 4가지 핵심 구성 요소로 이루어져 있습니다.
7차시;선다형;16;백테스트 시 현실적인 성과를 평가하기 위해 고려해야 하는 요소가 아닌 것은?;거래 비용;슬리피지;과최적화;실시간 거래 속도;4;백테스트 시 거래 비용, 슬리피지, 과최적화 등을 고려하여 현실적인 성과를 평가해야 합니다.
8차시;선다형;17;자동매매 시스템의 핵심 모듈이 아닌 것은?;가격 모니터링;주문 실행;리스크 관리;실시간 채팅;4;자동매매 시스템은 가격 모니터링, 주문 실행, 리스크 관리, 알림 시스템, 데이터 관리 등 핵심 모듈로 구성됩니다.
8차시;선다형;18;PRD에서 정의하는 내용이 아닌 것은?;제품 목표;핵심 지표(KPI);기능 요구사항;실제 거래 수익률;4;PRD는 제품의 목표, 핵심 지표(KPI), 기능 요구사항, 기술 스택 등을 체계적으로 정리한 문서입니다.
9차시;선다형;19;APScheduler에서 지원하는 트리거가 아닌 것은?;Cron 트리거;Interval 트리거;Date 트리거;Random 트리거;4;APScheduler는 Cron 표현식과 Interval 트리거를 지원하여 정확한 시간에 작업을 실행할 수 있습니다.
9차시;선다형;20;작업 간 의존성을 관리하기 위해 선행 작업의 완료 상태를 추적하는 방법은?;메모리에 저장;파일에 저장하고 의존 작업 실행 전에 확인;데이터베이스에 저장;클라우드에 저장;2;의존성 관리를 위해 완료 상태를 파일에 저장하고, 의존 작업 실행 전에 확인하는 방식이 필요합니다.
10차시;선다형;21;텔레그램 봇을 통해 자동매매 시스템에서 수행할 수 있는 작업이 아닌 것은?;거래 내역 조회;수익률 분석;시스템 상태 확인;실시간 주문 실행;4;텔레그램 봇을 통해 거래 내역 조회, 수익률 분석, 시스템 상태 확인 등 자동매매 시스템의 원격 모니터링 및 제어가 가능합니다.
10차시;선다형;22;텔레그램 봇의 모듈화된 구조에서 포함되는 요소가 아닌 것은?;핸들러;템플릿;설정 관리자;실시간 거래 엔진;4;핸들러, 템플릿, 설정 관리자 등 모듈화된 구조로 봇을 설계하면 기능 추가와 유지보수가 용이합니다.
11차시;선다형;23;자동매매 시스템에서 발생할 수 있는 주요 오류 유형이 아닌 것은?;API 인증 오류;네트워크 연결 오류;데이터 오류;사용자 입력 오류;4;API 인증 오류, 네트워크 연결 오류, 데이터 오류, 시스템 리소스 오류, 로직 오류 등 5가지 주요 오류 유형을 체계적으로 분석할 수 있습니다.
11차시;선다형;24;오류를 분류할 때 고려하는 기준이 아닌 것은?;발생 빈도;심각도;해결 난이도;오류 메시지 길이;4;오류를 발생 빈도, 심각도, 해결 난이도, 예방 가능성으로 분류하여 효율적인 대응 체계를 구축할 수 있습니다.
12차시;선다형;25;샤프 비율이 높을수록 의미하는 것은?;리스크가 높다;리스크 대비 수익이 좋다;수익률이 낮다;변동성이 높다;2;샤프 비율 = (수익률 - 무위험 수익률) / 변동성으로 계산되며, 높을수록 리스크 대비 수익이 좋습니다.
12차시;선다형;26;성과 지표 중 리스크 지표가 아닌 것은?;MDD;샤프 비율;VaR;총 수익률;4;수익률 지표(총 수익률, 연환산 수익률), 리스크 지표(MDD, 샤프 비율, VaR), 거래 지표(승률, 프로핏 팩터) 등을 종합적으로 계산할 수 있습니다.
13차시;선다형;27;전략 파라미터 최적화 방법이 아닌 것은?;그리드 서치;베이지안 최적화;랜덤 서치;직관적 추정;4;변동성 돌파 전략의 K값, 이동평균 기간, 손절/익절 비율 등을 그리드 서치나 베이지안 최적화로 찾아 성과를 향상시킬 수 있습니다.
13차시;선다형;28;시장 상황별 적응형 전략에서 고려하는 시장 상황이 아닌 것은?;변동성 구간;트렌드/사이드웨이스;시간대;거래소 선택;4;변동성 구간별, 트렌드/사이드웨이스별, 시간대별로 다른 파라미터를 사용하는 적응형 전략으로 안정적인 수익을 추구할 수 있습니다.
14차시;선다형;29;초보 투자자에게 가장 필요한 것은?;복잡한 전략 옵션;보수적인 리스크 관리;고위험 고수익 전략;실시간 거래 기능;2;초보 투자자는 투자 경험이 적어 리스크를 최소화하고 사용하기 쉬운 인터페이스가 중요합니다.
14차시;선다형;30;모듈화된 아키텍처에서 사용자별 모듈에 해당하는 것은?;API;데이터베이스;전략;네트워크;3;공통 모듈(API, 데이터베이스)과 사용자별 모듈(전략, 인터페이스)을 분리하면 유지보수와 확장이 용이합니다.
15차시;선다형;31;Docker를 사용하는 주요 장점이 아닌 것은?;환경 의존성 문제 해결;일관된 배포 환경 구축;코드 실행 속도 향상;컨테이너화;3;Docker를 사용하면 환경 의존성 문제를 해결하고 일관된 배포 환경을 구축할 수 있습니다.
15차시;선다형;32;클라우드 플랫폼에서 자동매매 시스템을 운영할 때 선택할 수 있는 플랫폼이 아닌 것은?;AWS;GCP;Azure;로컬 서버;4;24시간 안정적인 운영을 위해 클라우드 플랫폼(AWS, GCP, Azure)을 선택하고, Docker로 컨테이너화하여 배포할 수 있습니다.
16차시;선다형;33;MCP를 활용하여 자동매매 시스템 개발에 사용할 수 있는 도구가 아닌 것은?;Figma MCP;Notion MCP;Browser MCP;실시간 거래 MCP;4;Figma MCP로 UI/UX 디자인, Notion MCP로 문서 관리, Browser MCP로 웹 자동화 등을 자동매매 시스템 개발에 활용할 수 있습니다.
17차시;선다형;34;포트폴리오 전략의 주요 목적은?;단일 코인에 집중 투자;여러 코인에 분산 투자하여 리스크 감소;거래 빈도 증가;수수료 최소화;2;포트폴리오 전략은 상관관계가 낮은 여러 자산에 분산 투자하여 리스크를 분산시킵니다.
18차시;선다형;35;완전 자동화 시스템에서 24시간 365일 자동으로 실행되는 주요 기능이 아닌 것은?;모니터링;알림;자동 복구;수동 거래 승인;4;모니터링, 알림, 자동 복구, 리스크 관리가 완전히 자동화된 24시간 365일 운영 시스템을 구축하여 지속적인 수익 창출이 가능합니다.
