차시;유형;번호;내용;정답;해설
5차시;학습정리;3;포지션 사이징; 손절/익절 비율; 트레일링 스탑 등 리스크 관리 기법을 전략에 통합하여 안정적인 수익을 추구할 수 있다.  
6차시;퀴즈;1;업비트 API는 JWT 토큰 기반 인증을 사용한다.;O;업비트의 Exchange API는 JWT 토큰을 사용하여 인증하며  access_key와 secret_key가 필요합니다.
6차시;퀴즈;2;업비트 API의 Rate Limit은 초당 10회 요청으로 제한된다.;O;업비트 API는 초당 10회 요청 제한이 있으며  이를 초과하면 429 에러가 발생합니다.
6차시;학습목표;1;업비트 API의 기본 구조와 REST API; WebSocket 연동 방식을 이해한다.; 
6차시;학습목표;2;시장 데이터 조회 API와 계좌/주문 관리 API를 사용할 수 있다.;;
6차시;학습목표;3;JWT 토큰 기반 인증을 구현하고 API 호출 시 오류 처리를 할 수 있다.;;
6차시;학습정리;1;업비트 API는 Quotation API(공개)와 Exchange API(인증 필요)로 구분되며; 각각 시세 조회와 거래/계좌 관리를 담당한다.; 
6차시;학습정리;2;JWT 토큰을 사용한 인증 방식으로 계좌 조회; 주문 생성/조회/취소 등의 거래 기능을 구현할 수 있다.; 
6차시;학습정리;3;API Rate Limit을 준수하고 네트워크 오류에 대한 재시도 로직을 구현하여 안정적인 API 연동이 가능하다.;;
7차시;퀴즈;1;백테스팅은 과거 데이터를 사용하여 전략의 성과를 검증하는 방법이다.;O;백테스팅은 실제 거래 전에 과거 데이터로 전략을 테스트하여 수익률  승률 등을 분석합니다.
7차시;퀴즈;2;과최적화(Overfitting)는 과거 데이터에만 잘 맞는 전략을 만드는 것을 의미한다.;O;과최적화된 전략은 과거 데이터에서는 좋은 성과를 보이지만  미래 데이터에서는 성과가 떨어질 수 있습니다.
7차시;학습목표;1;백테스트 시스템의 핵심 구성 요소(데이터 로딩; 전략 실행; 성과 분석)를 이해한다.  
7차시;학습목표;2;데이터 전처리 및 품질 검증 방법을 학습한다.;;
7차시;학습목표;3;성과 지표 계산 및 결과 시각화를 통해 전략을 평가할 수 있다.;;
7차시;학습정리;1;백테스트 시스템은 데이터 로딩; 전략 실행; 성과 분석  결과 시각화의 4가지 핵심 구성 요소로 이루어져 있다.  
7차시;학습정리;2;백테스트 시 거래 비용; 슬리피지; 과최적화 등을 고려하여 현실적인 성과를 평가해야 한다.  
7차시;학습정리;3;다양한 시장 상황에서 백테스트를 수행하고, 롤링 검증을 통해 전략의 안정성을 검증할 수 있다.; ;
9차시;퀴즈;1;APScheduler를 사용하면 Python에서 정확한 시간 기반 작업 스케줄링이 가능하다.;O;APScheduler는 Cron 표현식과 Interval 트리거를 지원하여 정확한 시간에 작업을 실행할 수 있습니다.
9차시;퀴즈;2;작업 간 의존성을 관리하려면 선행 작업의 완료 상태를 추적해야 한다.;O;의존성 관리를 위해 완료 상태를 파일에 저장하고  의존 작업 실행 전에 확인하는 방식이 필요합니다.
9차시;학습목표;1;APScheduler를 활용하여 정확한 시간 기반 작업 스케줄링 시스템을 구축할 수 있다.;;
9차시;학습목표;2;우선순위 기반 작업 관리 시스템을 구현하여 중요한 작업을 우선 처리할 수 있다.;;
9차시;학습목표;3;작업 간 의존성 관리 및 동적 스케줄 변경 기능을 구현할 수 있다.;;
9차시;학습정리;1;APScheduler의 Cron과 Interval 트리거를 사용하여 매일 특정 시간; 주기적으로 실행되는 작업을 스케줄링할 수 있다.; 
9차시;학습정리;2;PriorityQueue와 워커 스레드를 결합하여 우선순위 기반 작업 디스패처를 구현하고, 실패 시 지수 백오프로 재시도할 수 있다.; ;
9차시;학습정리;3;YAML 설정 파일을 감시하여 동적으로 스케줄을 변경하고, 작업 완료 상태 파일을 통해 의존성 관리를 할 수 있다.; ;
10차시;퀴즈;1;텔레그램 봇은 BotFather를 통해 토큰을 발급받을 수 있다.;O;BotFather(@BotFather)는 텔레그램의 공식 봇으로  새로운 봇을 생성하고 토큰을 발급받을 수 있습니다.
10차시;퀴즈;2;인라인 키보드를 사용하면 사용자가 버튼을 클릭하여 명령을 실행할 수 있다.;O;인라인 키보드는 텔레그램 봇에서 버튼 형태의 인터페이스를 제공하여 사용자 경험을 향상시킵니다.
10차시;학습목표;1;텔레그램 Bot API를 활용하여 자동매매 시스템의 알림 및 제어 인터페이스를 구현할 수 있다.;;
10차시;학습목표;2;사용자 설정 관리 시스템을 구축하여 개인화된 알림 및 기능을 제공할 수 있다.;;
10차시;학습목표;3;모듈화된 봇 아키텍처를 설계하여 확장 가능한 텔레그램 봇을 개발할 수 있다.;;
10차시;학습정리;1;텔레그램 봇을 통해 거래 내역 조회; 수익률 분석; 시스템 상태 확인 등 자동매매 시스템의 원격 모니터링 및 제어가 가능하다.  
10차시;학습정리;2;사용자별 설정 파일을 관리하여 알림 유형; 거래 제어 권한 등을 개인화할 수 있다.; 
10차시;학습정리;3;핸들러; 템플릿; 설정 관리자 등 모듈화된 구조로 봇을 설계하면 기능 추가와 유지보수가 용이하다.  
11차시;퀴즈;1;API 인증 오류는 API 키 만료나 권한 부족으로 발생할 수 있다.;O;Invalid API key 오류는 키 만료  권한 설정 오류  키 형식 오류 등으로 발생합니다.
11차시;퀴즈;2;오류 패턴을 분류하면 발생 빈도와 심각도에 따라 대응 전략을 수립할 수 있다.;O;오류를 발생 빈도  심각도  해결 난이도  예방 가능성으로 분류하여 효율적인 대응 체계를 구축할 수 있습니다.
11차시;학습목표;1;자동매매 시스템에서 발생할 수 있는 주요 오류 유형을 분석하고 분류할 수 있다.;;
11차시;학습목표;2;각 오류 유형별 해결 방법과 예방 방안을 수립할 수 있다.;;
11차시;학습목표;3;오류 패턴별 최적의 대응 전략을 설계할 수 있다.;;
11차시;학습정리;1;API 인증 오류; 네트워크 연결 오류; 데이터 오류  시스템 리소스 오류  로직 오류 등 5가지 주요 오류 유형을 체계적으로 분석할 수 있다.  
11차시;학습정리;2;오류를 발생 빈도; 심각도; 해결 난이도  예방 가능성으로 분류하여 우선순위를 정하고 대응 전략을 수립할 수 있다.  
11차시;학습정리;3;자동 재시도; 로깅; 모니터링  입력 검증 등 예방적 접근을 통해 시스템의 복원력을 강화할 수 있다.  
12차시;퀴즈;1;샤프 비율은 수익률을 변동성으로 나눈 값으로 리스크 조정 수익률을 나타낸다.;O;샤프 비율 = (수익률 - 무위험 수익률) / 변동성으로 계산되며  높을수록 리스크 대비 수익이 좋습니다.
12차시;퀴즈;2;VaR(Value at Risk)는 특정 신뢰수준에서 예상되는 최대 손실을 의미한다.;O;VaR은 예를 들어 95% 신뢰수준에서 하루 최대 손실이 5%라는 식으로 표현됩니다.
12차시;학습목표;1;pandas와 numpy를 활용하여 거래 데이터를 효율적으로 처리하고 분석할 수 있다.;;
12차시;학습목표;2;수익률; 리스크; 거래 지표 등 다양한 성과 지표를 계산할 수 있다.  
12차시;학습목표;3;통계 분석과 시각화를 통해 거래 전략의 성과를 종합적으로 평가할 수 있다.;;
12차시;학습정리;1;SQLite 데이터베이스에서 거래 데이터를 로드하고 pandas로 전처리하여 코인별; 전략별; 시간대별 세분화된 분석이 가능하다.  
12차시;학습정리;2;수익률 지표(총 수익률; 연환산 수익률); 리스크 지표(MDD  샤프 비율  VaR)  거래 지표(승률  프로핏 팩터) 등을 종합적으로 계산할 수 있다.  
12차시;학습정리;3;matplotlib과 seaborn을 활용한 시각화와 scipy를 활용한 통계 분석을 통해 HTML/JSON 리포트를 자동 생성할 수 있다.;;
13차시;퀴즈;1;파라미터 최적화는 백테스트를 통해 최적의 전략 파라미터를 찾는 과정이다.;O;변동성 돌파 전략의 K값  이동평균 기간  손절/익절 비율 등을 최적화하여 성과를 향상시킬 수 있습니다.
13차시;학습목표;1;전략 파라미터 최적화 방법을 이해하고 구현할 수 있다.;;
13차시;학습목표;2;멀티 전략 조합 및 가중치 최적화 방법을 학습한다.;;
13차시;학습목표;3;시장 상황별 적응형 전략 최적화 시스템을 설계할 수 있다.;;
13차시;학습정리;1;변동성 돌파 전략의 K값; 이동평균 기간; 손절/익절 비율 등을 그리드 서치나 베이지안 최적화로 찾아 성과를 향상시킬 수 있다.  
13차시;학습정리;2;여러 전략을 조합하고 가중치를 최적화하여 리스크를 분산시키고; 동적 전략 전환으로 시장 상황에 맞는 전략을 선택할 수 있다.; 
13차시;학습정리;3;변동성 구간별; 트렌드/사이드웨이스별; 시간대별로 다른 파라미터를 사용하는 적응형 전략으로 안정적인 수익을 추구할 수 있다.  
14차시;퀴즈;1;초보 투자자는 보수적인 리스크 관리와 간단한 인터페이스가 필요하다.;O;초보 투자자는 투자 경험이 적어 리스크를 최소화하고 사용하기 쉬운 인터페이스가 중요합니다.
14차시;퀴즈;2;모듈화된 아키텍처는 공통 모듈과 사용자별 모듈로 분리하여 확장성을 높인다.;O;공통 모듈(API  데이터베이스)과 사용자별 모듈(전략  인터페이스)을 분리하면 유지보수와 확장이 용이합니다.
14차시;학습목표;1;다양한 사용자 유형별 요구사항을 분석하고 우선순위를 설정할 수 있다.;;
14차시;학습목표;2;모듈화된 아키텍처를 설계하여 사용자별 맞춤형 기능을 제공할 수 있다.;;
14차시;학습목표;3;설정 기반 커스터마이징과 기술 수준별 UI/UX를 구현할 수 있다.;;
14차시;학습정리;1;초보/중급/고급 투자자별로 투자 경험; 금액; 리스크 성향  기술적 지식이 다르므로 맞춤형 요구사항을 분석해야 한다.  
14차시;학습정리;2;공통 모듈과 사용자별 모듈로 분리된 모듈화된 구조로 설계하면 확장 가능하고 유지보수가 용이한 시스템을 구축할 수 있다.;;
14차시;학습정리;3;설정 파일 기반 커스터마이징과 기술 수준별 UI/UX를 제공하여 다양한 사용자 유형에 맞는 자동매매 시스템을 구현할 수 있다.;;
15차시;퀴즈;1;Docker를 사용하면 자동매매 시스템을 컨테이너화하여 배포할 수 있다.;O;Docker를 사용하면 환경 의존성 문제를 해결하고 일관된 배포 환경을 구축할 수 있습니다.
15차시;퀴즈;2;API 키는 환경 변수나 시크릿 관리 서비스를 통해 안전하게 관리해야 한다.;O;API 키를 코드에 하드코딩하지 않고 환경 변수나 AWS Secrets Manager 같은 서비스를 사용해야 합니다.
15차시;학습목표;1;자동매매 시스템의 배포 요구사항을 분석하고 적합한 인프라를 선택할 수 있다.;;
15차시;학습목표;2;Docker를 활용하여 컨테이너화된 시스템을 구축하고 배포할 수 있다.;;
15차시;학습목표;3;클라우드 플랫폼에서 안전하고 안정적인 운영 환경을 구축할 수 있다.;;
15차시;학습정리;1;24시간 안정적인 운영을 위해 클라우드 플랫폼(AWS; GCP; Azure)을 선택하고  Docker로 컨테이너화하여 배포할 수 있다.  
15차시;학습정리;2;API 키는 환경 변수나 시크릿 관리 서비스를 통해 안전하게 관리하고, 방화벽과 접근 권한 관리를 통해 보안을 강화해야 한다.; ;
15차시;학습정리;3;모니터링; 로그 관리; 자동 백업 시스템을 구축하여 시스템 안정성과 장애 대응 능력을 향상시킬 수 있다.  
16차시;퀴즈;1;MCP(Model Context Protocol)는 AI 도구와 애플리케이션 간의 표준화된 통신 프로토콜이다.;O;MCP는 AI 도구들이 컨텍스트를 공유하고 상호작용할 수 있게 해주는 프로토콜입니다.
16차시;퀴즈;2;Browser MCP를 사용하면 웹 자동화 작업을 수행할 수 있다.;O;Browser MCP를 통해 웹 페이지 탐색  데이터 수집  자동화 작업 등을 수행할 수 있습니다.
16차시;학습목표;1;MCP의 개념과 주요 장점을 이해하고 활용 방법을 학습한다.;;
16차시;학습목표;2;다양한 MCP 도구(Figma; Notion; Selenium  Browser)를 자동매매 시스템 개발에 활용할 수 있다.  
16차시;학습목표;3;MCP를 활용한 개발 워크플로우를 설계하고 구현할 수 있다.;;
16차시;학습정리;1;MCP는 AI 도구와 애플리케이션 간의 표준화된 통신 프로토콜로; 컨텍스트 공유와 상호작용을 용이하게 해준다.; 
16차시;학습정리;2;Figma MCP로 UI/UX 디자인; Notion MCP로 문서 관리; Browser MCP로 웹 자동화 등을 자동매매 시스템 개발에 활용할 수 있다.  
16차시;학습정리;3;MCP를 활용하면 개발 워크플로우를 자동화하고 생산성을 크게 향상시킬 수 있다.;;
17차시;퀴즈;1;포트폴리오 전략은 여러 코인에 분산 투자하여 리스크를 줄이는 방법이다.;O;포트폴리오 전략은 상관관계가 낮은 여러 자산에 분산 투자하여 리스크를 분산시킵니다.
17차시;퀴즈;2;적응형 전략 시스템은 시장 상황(상승장/하락장/횡보장)에 따라 다른 전략을 자동으로 적용한다.;O;시장 상황을 판단하는 지표를 사용하여 적합한 전략을 자동으로 선택하고 전환합니다.
17차시;학습목표;1;포트폴리오 전략을 통해 리스크를 분산시키면서 수익을 극대화하는 방법을 이해한다.;;
17차시;학습목표;2;자금 관리 방법(켈리 공식; 고정 비율 등)을 학습하고 적용할 수 있다.; 
17차시;학습목표;3;시장 상황별 적응형 전략 시스템을 설계하고 구현할 수 있다.;;
17차시;학습정리;1;상관관계가 낮은 여러 코인에 분산 투자하고, 전략별 가중치를 최적화하여 포트폴리오 리스크를 관리할 수 있다.; ;
17차시;학습정리;2;켈리 공식; 고정 비율; 변동성 기반 포지션 사이징 등 자금 관리 방법을 적용하여 손실을 최소화하고 수익을 극대화할 수 있다.  
17차시;학습정리;3;시장 상황 판단 지표(이동평균; RSI; 변동성 등)를 사용하여 상승장/하락장/횡보장에 맞는 전략을 자동으로 선택하고 전환할 수 있다.  
18차시;퀴즈;1;다중 거래소 전략은 여러 거래소에서 동시에 거래하여 아비트라지 기회를 포착한다.;O;거래소 간 가격 차이를 이용한 아비트라지나 유동성 확보를 위해 여러 거래소를 활용할 수 있습니다.
18차시;퀴즈;2;완전 자동화 시스템은 24시간 365일 사람의 개입 없이 자동으로 거래를 실행한다.;O;모니터링  알림  자동 복구  리스크 관리 등 모든 기능이 자동화된 시스템을 구축할 수 있습니다.
18차시;학습목표;1;자동매매 시스템의 확장 전략(다중 거래소; 고급 전략; 완전 자동화)을 이해한다.  
18차시;학습목표;2;머신러닝과 딥러닝을 활용한 예측 모델과 복합 전략을 설계할 수 있다.;;
18차시;학습목표;3;24시간 365일 완전 자동화된 시스템을 구축하고 운영할 수 있다.;;
18차시;학습정리;1;다중 거래소 연동을 통해 아비트라지 기회를 포착하고, 유동성을 확보하며, 거래소 장애 시 대체 경로를 확보할 수 있다.  ;;
18차시;학습정리;2;머신러닝(LSTM; Transformer)과 딥러닝을 활용한 가격 예측 모델과 여러 전략을 조합한 복합 전략으로 수익을 극대화할 수 있다.; 
18차시;학습정리;3;모니터링; 알림; 자동 복구  리스크 관리가 완전히 자동화된 24시간 365일 운영 시스템을 구축하여 지속적인 수익 창출이 가능하다.  
