order_id,symbol,side,amount,price,status,strategy,created_at,updated_at,trade_value,trade_date,trade_hour,trade_day_of_week,pnl,pnl_percentage,holding_period
order_0098,KRW-ETH,BUY,0.001279,54069329.0,filled,rsi_strategy,2025-09-25 11:00:15.534349,2025-09-28 20:11:15,69154.671791,2025-09-25,11,Thursday,0.0,0.0,0
order_0089,KRW-BTC,SELL,0.004447,46115170.0,filled,rsi_strategy,2025-09-26 01:02:15.534349,2025-09-28 20:11:15,205074.16099000003,2025-09-26,1,Friday,18070.506684519427,8.811693583084118,839
order_0046,KRW-ADA,BUY,0.009118,66187049.0,filled,rsi_strategy,2025-09-26 09:37:15.534349,2025-09-28 20:11:15,603493.512782,2025-09-26,9,Friday,0.0,0.0,0
order_0061,KRW-ADA,SELL,0.001295,47832598.0,filled,volatility_breakout,2025-09-26 11:50:15.534349,2025-09-28 20:11:15,61943.21440999999,2025-09-26,11,Friday,3617.7309145417353,5.840399063884705,1420
order_0069,KRW-BTC,BUY,0.002761,62966929.0,filled,rsi_strategy,2025-09-27 07:12:15.534349,2025-09-28 20:11:15,173851.690969,2025-09-27,7,Saturday,0.0,0.0,0
order_0014,KRW-ADA,SELL,0.009306,54512546.0,filled,ma_crossover,2025-09-27 09:25:15.534349,2025-09-28 20:11:15,507293.753076,2025-09-27,9,Saturday,48327.57034237958,9.526545526993587,1284
order_0043,KRW-ADA,SELL,0.007706,56969580.0,filled,volatility_breakout,2025-09-27 10:17:15.534349,2025-09-28 20:11:15,439007.58348000003,2025-09-27,10,Saturday,16289.121816915092,3.7104420128216713,401
order_0003,KRW-ETH,BUY,0.007108,40143678.0,filled,volatility_breakout,2025-09-27 14:57:15.534349,2025-09-28 20:11:15,285341.263224,2025-09-27,14,Saturday,0.0,0.0,0
order_0022,KRW-ADA,BUY,0.005062,30311896.0,filled,ma_crossover,2025-09-27 21:09:15.534349,2025-09-28 20:11:15,153438.817552,2025-09-27,21,Saturday,0.0,0.0,0
order_0084,KRW-ETH,BUY,0.009262,59934091.0,filled,volatility_breakout,2025-09-29 23:16:15.534349,2025-09-28 20:11:15,555109.5508419999,2025-09-29,23,Monday,0.0,0.0,0
